[Point];[Position];[Force];[Time]
344;43.95;1255.538;T#0ms
345;43.96;1262.927;T#0ms
346;43.97;1268.274;T#0ms
347;43.98;1272.657;T#0ms
348;43.99;1276.394;T#0ms
349;44.0;1279.851;T#0ms
350;44.01;1283.3039999999999;T#0ms
351;44.02;1285.96;T#0ms
352;44.03;1289.827;T#0ms
353;44.04;1292.941;T#0ms
354;44.05;1296.221;T#0ms
355;44.06;1298.652;T#0ms
356;44.07;1296.8239999999998;T#0ms
357;44.08;1290.91;T#0ms
358;44.09;1276.6960000000001;T#0ms
359;44.1;1250.938;T#0ms
360;44.11;1208.2939999999999;T#0ms
361;44.12;1154.643;T#0ms
362;44.13;1112.3239999999998;T#0ms
363;44.14;1071.634;T#0ms
364;44.15;1042.822;T#0ms
365;44.16;1027.198;T#0ms
366;44.17;1013.2957;T#0ms
367;44.18;1005.1414;T#0ms
368;44.19;1000.668;T#0ms
369;44.2;998.9151;T#0ms
370;44.21;999.0472;T#0ms
371;44.22;1002.4268;T#0ms
372;44.23;1009.4502;T#0ms
373;44.24;1018.0358;T#0ms
374;44.25;1029.661;T#0ms
375;44.26;1034.764;T#0ms
376;44.27;1035.434;T#0ms
377;44.28;1035.532;T#0ms
378;44.29;1031.734;T#0ms
379;44.3;1027.112;T#0ms
380;44.31;1026.289;T#0ms
381;44.32;1026.155;T#0ms
382;44.33;1023.1876;T#0ms
383;44.34;1022.0582;T#0ms
384;44.35;1020.79;T#0ms
385;44.36;1018.5846;T#0ms
386;44.37;1015.5897;T#0ms
387;44.38;1012.2487;T#0ms
388;44.39;1010.377;T#0ms
389;44.4;1005.6519999999999;T#0ms
390;44.41;1007.8102;T#0ms
391;44.42;1007.298;T#0ms
392;44.43;1005.1871;T#0ms
393;44.44;1007.4261;T#0ms
394;44.45;1004.2573;T#0ms
395;44.46;1001.9757;T#0ms
396;44.47;1000.8295;T#0ms
397;44.48;998.8541;T#0ms
398;44.49;997.5891;T#0ms
399;44.5;997.0374;T#0ms
400;44.51;997.1471;T#0ms
401;44.52;996.1639;T#0ms
402;44.53;996.2752;T#0ms
403;44.54;995.4948;T#0ms
404;44.55;995.5694;T#0ms
405;44.56;995.3239;T#0ms
406;44.57;995.5821;T#0ms
407;44.58;996.5983;T#0ms
408;44.59;997.9853;T#0ms
409;44.6;998.595;T#0ms
410;44.61;1000.927;T#0ms
411;44.62;1000.4576;T#0ms
412;44.63;1002.0625;T#0ms
413;44.64;1001.555;T#0ms
414;44.65;1000.9269;T#0ms
415;44.66;1000.9574;T#0ms
416;44.67;1002.4435;T#0ms
417;44.68;1001.2622;T#0ms
418;44.69;1002.3414;T#0ms
419;44.7;1001.9818;T#0ms
420;44.71;999.7610000000001;T#0ms
421;44.72;999.4334;T#0ms
422;44.73;997.452;T#0ms
423;44.74;998.2262;T#0ms
